Q1,Q2,Q3,Q15_1_pre,Q15_2_pre,Q15_3_pre,Q15_4_pre,Q15_5_pre,Q18_1,Q18_2,Q18_3,Q18_4,study_id,ResponseID,Q14,Q16,Q17_post,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,uid,user_id,condition,study,scenario,question,question_severity,user_willingness,user_severity
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Work or Studies,What personal strengths do you draw on to stay mentally balanced in your career or studies?,Low,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Interpersonal Relations and Self-Concept,What is something you’ve done recently that made you feel genuinely proud or emotionally fulfilled?,Medium,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Interpersonal Relations and Self-Concept,Have past experiences in relationships ever left you feeling emotionally hurt or let down?,High,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Interpersonal Relations and Self-Concept,Do you ever feel a sense of loss or longing when you think about them?,Low,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Tastes and Interests,"Are there certain types of music, shows, or stories that you avoid because they affect your mood negatively?",Medium,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Tastes and Interests,Have you ever felt emotionally triggered by people that you strongly disagreed with socially?,High,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_8I46ilm9FCWgZMB,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_8I46ilm9FCWgZMB,R_8I46ilm9FCWgZMB,2,sagar,Tastes and Interests,What types of social environments do you find most comforting or energizing?,Low,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_2C8CJdVPw00mmq1,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_2C8CJdVPw00mmq1,R_2C8CJdVPw00mmq1,1,sagar,Work or Studies,Have you ever felt completely overwhelmed or lost when it comes to your professional or academic path?,High,5,High
Male,16 - 20,Very familiar (used them multiple times),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,6ec5bacc-e8dc-4f6f-b512-9692d5a708b8,R_2C8CJdVPw00mmq1,Natural (5),Humanlike (5),Conscious (5),Lifelike (5),Communicating elegantly (5),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,R_2C8CJdVPw00mmq1,R_2C8CJdVPw00mmq1,1,sagar,Work or Studies,Have you been feeling any stress or mental fatigue related to your work or academic life lately?,Medium,5,High
