user_id,condition,created_at,revoked_consent,study,id,scenario,question,question_severity,user_willingness,user_severity,timestamp
R_83CH5QnjEiE4ay6,1,2025-05-18 19:00:12.449+00,false,sagar,51ea3d2083b63aab8f939242200c4dc2f5034c39686e38b1dbc663fb6ae2c37c,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,3,High,2025-05-18 19:00:19.995+00
2z54loketlg,1,2025-05-19 14:42:53.064+00,false,sagar,aea70b5b84ab065b59bc8230d8c88cabaec0e8bfdb093ba6f5de90111719b2c7,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,2,High,2025-05-19 14:42:56.877+00
musyk8udem,2,2025-05-19 15:52:19.756+00,false,sagar,62977e8b1b6f2ad1d8c90e27ddae03189d0ff9dbac2f3a5f20cf4d4fdcd652c4,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,4,High,2025-05-19 15:52:47.276+00
p3dp05nuyv8,1,2025-05-19 20:34:04.063+00,false,sagar,3974545e9f57f294c3724e395474d0725688ac4854d6dc68088ecb7fd84c5a42,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,5,High,2025-05-19 20:34:24.049+00
wy0o2ntytr,2,2025-05-19 20:34:34.204+00,false,sagar,6697f6f75c609b17c9942ccd1103a3bd1a2542f0f825eb8615014fc9a6d4001c,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,5,Low,2025-05-19 20:34:39.685+00
wox0zlxfvx,2,2025-05-20 08:39:39.579+00,false,sagar,577a9da56715592bc19eb6d9f14a9c5c4b6d3d67933b55b237560868313c9390,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,5,High,2025-05-20 08:39:48.655+00
eteaaf1odcj,2,2025-05-20 08:40:47.502+00,false,sagar,b79a9aa5039eb54ce6e569bd74ca634cc5f0ca1332b385e39413276dbea6572f,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,4,High,2025-05-20 08:40:56.174+00
8h5asj9mm7c,2,2025-05-20 08:41:32.341+00,false,sagar,f0a29e0699df0f337c60ac9e13fe55c4642d8607807d3b3b267f8769eb507b70,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,5,High,2025-05-20 08:41:38.673+00
650r2vh2z7f,2,2025-05-20 08:42:17.037+00,false,sagar,e90834acf6c70892a1b5d8a23fd3e94e270a35ca2bd873e9577f86db45255eb3,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,4,High,2025-05-20 08:42:23.795+00
0g76xcfk1vn,1,2025-05-20 09:02:14.301+00,false,sagar,5a1378b90b7e8cc232e0beb45435572d53a58eb96c114c1728efd160d9fb9fe8,mental-health-assessment,How often do you experience feelings of anxiety or sadness?,Medium,4,High,2025-05-20 09:02:23.051+00
